Processo,Data,Valor
00814288720254039900,28/03/2025,"606.875,70"
00814850820254039900,28/03/2025,"960.010,57"
00814869020254039900,28/03/2025,"461.200,21"
00814980720254039900,28/03/2025,"218.029,17"
00815032920254039900,28/03/2025,"248.570,01"
00815483320254039900,28/03/2025,"162.089,13"
00815500320254039900,28/03/2025,"95.862,61"
00815552520254039900,28/03/2025,"100.563,96"
00815561020254039900,28/03/2025,"99.593,67"
00815579220254039900,28/03/2025,"292.339,94"
00815587720254039900,28/03/2025,"100.273,65"
00815596220254039900,28/03/2025,"215.078,88"
00815613220254039900,28/03/2025,"117.498,11"
00815621720254039900,28/03/2025,"205.857,44"
00815665420254039900,28/03/2025,"225.846,55"
00815673920254039900,28/03/2025,"157.282,24"
00815682420254039900,28/03/2025,"177.538,40"
00815690920254039900,28/03/2025,"145.830,14"
00815709120254039900,28/03/2025,"126.455,24"
00815717620254039900,28/03/2025,"287.278,55"
00817310420254039900,28/03/2025,"455.350,11"
00817544720254039900,28/03/2025,"232.609,78"
00817649120254039900,28/03/2025,"293.180,88"
00817683120254039900,28/03/2025,"435.218,00"
00817718320254039900,28/03/2025,"421.135,31"
00817735320254039900,28/03/2025,"215.302,75"
00817743820254039900,28/03/2025,"120.775,39"
00817752320254039900,28/03/2025,"218.956,63"
00817813020254039900,28/03/2025,"361.215,25"
00817839720254039900,28/03/2025,"151.580,29"
00819147220254039900,28/03/2025,"233.095,55"
00819233420254039900,28/03/2025,"155.991,06"
00819241920254039900,28/03/2025,"112.800,94"
00819268620254039900,28/03/2025,"213.961,80"
00819380320254039900,28/03/2025,"638.329,09"
00819467720254039900,28/03/2025,"114.998,92"
00819484720254039900,28/03/2025,"131.734,68"
00819545420254039900,28/03/2025,"147.771,34"
00819562420254039900,28/03/2025,"128.070,88"
00819589120254039900,28/03/2025,"118.969,87"
00819597620254039900,28/03/2025,"118.969,86"
00819606120254039900,28/03/2025,"105.222,29"
00819882920254039900,28/03/2025,"134.687,44"
00819891420254039900,28/03/2025,"165.664,59"
00820299320254039900,28/03/2025,"477.819,94"
00820792220254039900,28/03/2025,"96.890,87"
00821087220254039900,28/03/2025,"130.968,04"
00821147920254039900,28/03/2025,"93.536,71"
00821181920254039900,28/03/2025,"300.268,70"
00821190420254039900,28/03/2025,"189.473,69"
00821294820254039900,28/03/2025,"302.197,98"
00821320320254039900,28/03/2025,"307.793,72"
00821364020254039900,28/03/2025,"113.255,74"
00821407720254039900,28/03/2025,"110.229,88"
00821424720254039900,28/03/2025,"171.921,01"
00821441720254039900,28/03/2025,"79.275,84"
00821450220254039900,28/03/2025,"89.063,72"
00821640820254039900,28/03/2025,"409.288,69"
00821667520254039900,28/03/2025,"453.532,92"
00821788920254039900,28/03/2025,"79.275,85"
00821805920254039900,28/03/2025,"79.275,84"
00821849620254039900,28/03/2025,"226.015,53"
00821866620254039900,28/03/2025,"27.179,14"
